Ort,Act,Latitude,Longitude
Circus Fantasia,,54.09435906388149,12.11562061806143
Klostergarten,,54.0869783450381,12.133318503842698
Margaretenplatz,,54.087754351688936,12.115683650159339
Am Brink,,54.08787416322608,12.121593411429016
